code,system
7056,gprdproduct
53964,gprdproduct
52159,gprdproduct
59676,gprdproduct
43458,gprdproduct
52055,gprdproduct
634,gprdproduct
4802,gprdproduct
755,gprdproduct
4449,gprdproduct
5618,gprdproduct
8086,gprdproduct
3470,gprdproduct
4875,gprdproduct
591,gprdproduct
46922,gprdproduct
57145,gprdproduct
41721,gprdproduct
4637,gprdproduct
3715,gprdproduct
60316,gprdproduct
3924,gprdproduct
726,gprdproduct
55826,gprdproduct
4694,gprdproduct
1294,gprdproduct
45342,gprdproduct
59862,gprdproduct
34601,gprdproduct
119,gprdproduct
493,gprdproduct
45583,gprdproduct
60200,gprdproduct
57448,gprdproduct
47807,gprdproduct
48150,gprdproduct
60319,gprdproduct
50467,gprdproduct
40891,gprdproduct
57074,gprdproduct
54785,gprdproduct
34342,gprdproduct
34625,gprdproduct
19193,gprdproduct
61066,gprdproduct
19216,gprdproduct
33094,gprdproduct
34553,gprdproduct
59209,gprdproduct
34715,gprdproduct
45265,gprdproduct
55906,gprdproduct
58276,gprdproduct
58325,gprdproduct
53322,gprdproduct
62019,gprdproduct
51685,gprdproduct
41543,gprdproduct
45328,gprdproduct
62158,gprdproduct
56145,gprdproduct
40678,gprdproduct
55916,gprdproduct
61283,gprdproduct
61123,gprdproduct
59462,gprdproduct
5496,gprdproduct
582,gprdproduct
1292,gprdproduct
5183,gprdproduct
8198,gprdproduct
2348,gprdproduct
2347,gprdproduct
36649,gprdproduct
36780,gprdproduct
2346,gprdproduct
37428,gprdproduct
8077,gprdproduct
16201,gprdproduct
5337,gprdproduct
40256,gprdproduct
16198,gprdproduct
11394,gprdproduct
58985,gprdproduct
57549,gprdproduct
5624,gprdproduct
9422,gprdproduct
5179,gprdproduct
44553,gprdproduct
1455,gprdproduct
24369,gprdproduct
4111,gprdproduct
41652,gprdproduct
35312,gprdproduct
35058,gprdproduct
53084,gprdproduct
34080,gprdproduct
36282,gprdproduct
51665,gprdproduct
35466,gprdproduct
35925,gprdproduct
54497,gprdproduct
41651,gprdproduct
43547,gprdproduct
42462,gprdproduct
58517,gprdproduct
14932,gprdproduct
31109,gprdproduct
37243,gprdproduct
38461,gprdproduct
46066,gprdproduct
36023,gprdproduct
26238,gprdproduct
19823,gprdproduct
13610,gprdproduct
26237,gprdproduct
20369,gprdproduct
35603,gprdproduct
57784,gprdproduct
2120,gprdproduct
5485,gprdproduct
2088,gprdproduct
42820,gprdproduct
56793,gprdproduct
42936,gprdproduct
460,gprdproduct
10134,gprdproduct
25551,gprdproduct
25487,gprdproduct
43567,gprdproduct
8942,gprdproduct
28441,gprdproduct
46206,gprdproduct
46526,gprdproduct
44268,gprdproduct
36740,gprdproduct
43695,gprdproduct
53033,gprdproduct
36439,gprdproduct
55005,gprdproduct
45040,gprdproduct
39373,gprdproduct
2117,gprdproduct
12545,gprdproduct
23010,gprdproduct
45584,gprdproduct
27403,gprdproduct
6008,gprdproduct
47563,gprdproduct
35639,gprdproduct
2345,gprdproduct
8076,gprdproduct
3923,gprdproduct
7759,gprdproduct
40810,gprdproduct
54918,gprdproduct
10088,gprdproduct
7549,gprdproduct
35272,gprdproduct
7547,gprdproduct
61844,gprdproduct
5815,gprdproduct
9019,gprdproduct
2816,gprdproduct
23459,gprdproduct
8863,gprdproduct
25047,gprdproduct
26693,gprdproduct
